id_proposal,title_proposal,votes,scores_total,selected_choice,forum_topic_id,polarity,subjectivity
0x3ea1c3b6b79983ab9e1e1a354152d8319f8e9426244e7b0a625b3a8d221b67e0,JOJO Exchange STIP Proposal - Round 1,26171,145930232.61148453,For,16941,0.06699940352832953,0.4649618186237245
0x3f43c84a863eb88afd0bc593290cd4bb8a9ce90f8105c15cf1b0252866e3e051,D2.finance STIP Proposal - Round 1,28413,117182361.42152277,Against,16732,0.1974706007251985,0.5017387792671509
0x40604b0134f09996041ae087308a5d67ef601943d5f9e556eb5a6c7363c9563e,unshETH STIP Proposal - Round 1,16453,119867644.41904499,For,17537,0.19847029364700494,0.5385222126144745
0x44e5dfaa684ea711bb8cfaef43845b917044dc920e7a1c78d8afed201a416f52,WINR Protocol STIP Proposal - Round 1,17325,184439626.76149604,For,16755,0.16818074262296798,0.5037218794055178
0x47d78e0fcac0ad664516c7bae6dc93a15d3ed15dfff96b1ab5ab6637dc680d18,LODESTAR FINANCE STIP Proposal - Round 1,17068,191673386.25152737,For,16981,0.22347223451805054,0.5207136000799697
0x4af0134cf2fad93af6f255882f4c38847e38cfa083aaa29e37e9a9a669b7d913,Rodeo Finance STIP Proposal - Round 1,22394,158408143.31823167,For,17162,0.24087519993956252,0.5346164395130869
0x4b9b9a636554d52a2b925f6aa40eb7ad626181a63f9d0a62c4a0537302d53d87,Vela Exchange STIP Proposal - Round 1,17364,132289471.03744516,For,17280,0.22469638164555888,0.5333615143571961
0x4c75f39a125a8e7122d62aee61f04e5a8251f0278f41cc811b4c9fb6d9173458,Rysk STIP Proposal - Round 1,24207,184492534.92869726,For,17194,0.1624522112153905,0.48844743029006943
0x4ddcb7cc7764e5ca54a1e5a7e09a3300398c38f7133fb0506da6b0071b610170,NFTEarth STIP Proposal - Round 1,17574,117091757.59590797,Against,16688,0.1561875319426759,0.541712584944667
0x4e064bc3f7335eb5b3b998c3b21921995d43b5c3d225da53897acaf57b51e826,[Constitutional] Changes to the Constitution and the Security Council Election Process,27586,155852384.41487733,For,20856,0.15433747504508374,0.48764822041887257
0x4ecfa9a9d0abff7a1bebfa257908fc9e3ec072c6fdb40af44cf029c35493ef2c,Modular Wallet STIP Proposal - Round 1,15783,111933319.2654761,Against,17326,0.07401272023431114,0.44716258804326986
0x4ed98bf0a5018d9ff80780d97d76a7fe9ba11c6c9cd01ab336936d9f400f3087,Timeswap STIP Proposal - Round 1,19478,199456631.22927722,For,17344,0.17926784960561834,0.5474667289954844
0x4fbce74026a978be93aabf653ad50ace270abf7f5c035e4874a21a17be38c07b,Equilibria STIP Proposal - Round 1,17378,132317048.76709232,Abstain,17370,0.21799029901421696,0.4818477208654459
0x5050ef61a4cbff56344ad558c2c880b547fef3b81df607818238ed3031f840b3,[Non-Constitutional]: Arbitrum Stable Treasury Endowment Program,28073,132732150.01786906,For,20139,0.18890470182433988,0.4700840721543259
0x51dc3882817d8a67d2550f8f9bd6f9b847b9dbfa3e2e5733b3d80ef9757fcfc6,Guru Network STIP Proposal - Round 1,16486,113171625.818475,Against,17434,0.20206636655133953,0.5558566143036799
0x540cbc97de29a2d5888ba227be5d97b1c4992bb1b2547ccbfedfacc3a3c6bce0,Wombat Exchange STIP Proposal - Round 1,23211,117523010.78729676,Against,17039,0.17685564378575844,0.5541874094894377
0x54aef9378fdb7addaa3b0ec0fbeb7884b4652cff4023abec69f2ac4ac6babdc0,Angle Protocol STIP Proposal - Round 1,18064,197334626.16574457,For,17104,0.2836641607400536,0.5364838757472686
0x57989a52325d2e15bfce04d700721605c0cb02504baef73c648d609ce0512c72,Good Entry STIP Proposal - Round 1,30222,186620415.33826947,For,16763,0.30511621460243915,0.5559372268986372
0x5c0cecde14ec0b83c954b47c2d79348ce249019b83894f3938fc80b45e1232da,Time Management in Arbitrum’s Governance,50713,42148959.440151975,For,15941,0.1990758570930985,0.46831633245426346
0x5e0057920df9a278918e4de4ee1e6de7e2415d2af985e40a6c7a1a4b47a4ce01,Arbitrum Short-term incentive Program,35455,182527843.20832,Up to 50M ARB through Jan 2024,16131,0.16498982800240924,0.4418388834240461
0x5e43fdcaa085476a7be4fb638dd57f7b3f6b708fbbbe1380e54da126c7a095d2,Proposal: Update Security Council Election Start Date to Ensure Time for Security Audit,51495,83549368.01720633,For,15426,0.35186653021266595,0.489023029189349
0x61a4311cc427b02bf6f69a7f1d262b7a50998d37916564934194fb1eefee8a6e,Thetanuts STIP Proposal - Round 1,20178,153178690.22121674,For,17539,0.06116019149501292,0.5511046344528487
0x61a9b65642902868755b51fc1a7cf2a1c95ced6cf41931a16c984a9ee4c75aa1,KeplerHomes STIP Proposal - Round 1,16818,119729977.6793059,Against,17226,0.12322898700935986,0.5576652507177224
0x64ae7b7e4670f045588f81fcd4f35822aebaa02c3b4bc459696e55ed73cb5536,Wombex Finance STIP Proposal - Round 1,17433,120014281.41979554,Against,17454,0.07031560975838085,0.5821466215065612
0x655b11329d5131abb2b2f5a11bb221f6ab4930358d7d6587e24ab3bc4257ac9c,iZUMi STIP Proposal - Round 1,29840,154832654.8351052,Abstain,17150,0.1413321834399171,0.47545798777357245
0x66b953a7cf4de9f6de54e6eb87ae291b5cc62f12c7fed68eba91043607883221,Proposal: Building the Future of NFTs: The Rarible Protocol - Arbitrum Integration Proposal [REVISED],50560,120779306.30293971,For,15615,0.20334155177790902,0.4365017764024796
0x6709edbc057b630e80c8bd6dcd4bb5a159256a03a1aaf8e8c25bb3f523fe52a0,LOGX STIP Proposal - Round 1,16384,120468058.591319,Abstain,16936,0.13739140178003814,0.4804695981838027
0x678e4a657f451b1acd6247618e6beb6d258e5ab9eb9122ed276e2486a9d907ee,RADIANT STIP Proposal - Round 1,18050,185511037.19047508,For,16929,0.19189291716767776,0.5291395702252921
0x6b001068a3aa7f58e0e334a1f717be2145eb4c7b3f3af479cd827020aa2993a6,Accelerating Arbitrum - leveraging Camelot as an ecosystem hub to support native builders,49504,164114420.33897847,Against,15116,0.15973202354390859,0.46988913818838146
0x6b89b74c259d2cc5979c46be6cfe2ae20f9485eee728a628f56930db644da985,Lido STIP Proposal - Round 1,17692,200661734.8507953,Against,17119,0.10216898370927634,0.4316366399610603
0x6bf2549bfe0699347d2ceb556339d3c4f9b1ccda71e954cf12decd5a438b82ed,Camelot STIP Proposal - Round 1,24273,205129487.32971784,For,17200,0.1687786276411099,0.49546675344075103
0x6c4a78cb00f613cdfe49e47c17cb83e74776873a789ea2553c0b1014b0288ae1,HMX STIP Proposal - Round 1,18075,116766277.39595626,Abstain,17518,0.07291972471747572,0.4204271987110588
0x6fc671517d63e69232fafd581e9461c50150008aa61f5571d2767a150d24779c,Arbitrum as official sponsor of Ethereum Mexico 2023,53609,53328946.932540245,For,16279,0.2035882701949002,0.45023973355145513
